t	n	p	v	i
25	3	Pulse2_PROCMONDCELLS	1,00E+00	NaN
25	3	Pulse2_PROCMONDCELLS	1,10E+00	NaN
25	3	Pulse2_PROCMONDCELLS	1,20E+00	3,87E+02
25	3	Pulse2_PROCMONDCELLS	1,30E+00	1,38E+02
25	3	Pulse2_PROCMONDCELLS	1,40E+00	1,10E+02
25	3	Pulse2_PROCMONDCELLS	1,50E+00	9,30E+01
25	3	Pulse2_PROCMONDCELLS	1,60E+00	8,14E+01
25	3	Pulse2_PROCMONDCELLS	1,70E+00	7,21E+01
25	3	Pulse2_PROCMONDCELLS	1,80E+00	6,56E+01
25	3	Pulse2_PROCMONDCELLS	1,90E+00	6,02E+01
25	3	Pulse2_PROCMONDCELLS	2,00E+00	5,55E+01
25	3	Freq_PROCMONDCELLSLL	1,00E+00	NaN
25	3	Freq_PROCMONDCELLSLL	1,10E+00	NaN
25	3	Freq_PROCMONDCELLSLL	1,20E+00	NaN
25	3	Freq_PROCMONDCELLSLL	1,30E+00	2,28E+00
25	3	Freq_PROCMONDCELLSLL	1,40E+00	2,77E+00
25	3	Freq_PROCMONDCELLSLL	1,50E+00	3,26E+00
25	3	Freq_PROCMONDCELLSLL	1,60E+00	3,74E+00
25	3	Freq_PROCMONDCELLSLL	1,70E+00	4,21E+00
25	3	Freq_PROCMONDCELLSLL	1,80E+00	4,67E+00
25	3	Freq_PROCMONDCELLSLL	1,90E+00	5,11E+00
25	3	Freq_PROCMONDCELLSLL	2,00E+00	5,53E+00
25	3	Pulse1_PROCMONDCELLSLL	1,00E+00	NaN
25	3	Pulse1_PROCMONDCELLSLL	1,10E+00	NaN
25	3	Pulse1_PROCMONDCELLSLL	1,20E+00	9,71E+02
25	3	Pulse1_PROCMONDCELLSLL	1,30E+00	2,76E+02
25	3	Pulse1_PROCMONDCELLSLL	1,40E+00	2,20E+02
25	3	Pulse1_PROCMONDCELLSLL	1,50E+00	1,85E+02
25	3	Pulse1_PROCMONDCELLSLL	1,60E+00	1,59E+02
25	3	Pulse1_PROCMONDCELLSLL	1,70E+00	1,40E+02
25	3	Pulse1_PROCMONDCELLSLL	1,80E+00	1,26E+02
